"","M.1","M.2","M.3","M.4","M.5","M.6","M.7","M.8","M.9","M.10","M.11","M.12","M.13","M.14","M.15","M.16","M.17","M.18","M.19","K.20","K.21","K.22","K.23","K.24","K.25","K.26","K.27","K.28","K.29","K.30","K.31","K.32","P.33","P.34","P.35","P.36","P.37","P.38","P.39","P.40","P.41","P.42","P.43","P.44","P.45","P.46","P.47","P.48","P.49","A.50","A.51","A.52","A.53","A.54","A.55","A.56","A.57","A.58","A.59"
"HP_P00738",30.9933987589784,31.1830568974673,29.8400992978928,31.4694809664108,31.2582789276711,30.7467516993322,30.9351567522514,30.386166037091,31.2292128208904,31.4503544822365,23.6382869749376,29.1912882978305,31.0847342262191,31.3258651193522,31.3353315790913,31.0715930685649,31.3213235782223,31.3386557197917,30.4484996913229,26.1972061174567,30.947555010928,31.7177238225038,30.7891297537424,31.8225053898299,31.148896237599,31.3684310348663,31.0997643063678,31.0062051207399,31.3616656305913,30.4224795988775,31.3116886721914,30.7977501966106,24.6389277014051,31.6507691259611,30.142105985835,31.8683169144368,31.0180830042817,30.1464826184268,31.9390549299531,31.2230731338921,31.4073931789778,31.8178367221971,31.4848618671887,30.8891132210403,32.5415437101907,31.6834180390597,30.8291266675124,31.6703575128146,32.030899940538,30.6561932635498,29.8883207802414,30.1751234121026,29.3709943200654,29.0474471538666,29.5129612466767,29.296622403255,30.1715489028141,29.2071134532752,30.8998969662143
"TF_P02787",27.9400756270512,30.1443689037536,30.3444770868762,29.4569621337609,29.7536820627723,29.3708010625986,29.2383388969413,29.3304618663243,29.5001574669945,29.1201969742503,29.1509016831869,29.2212555121292,29.8067511734938,29.9370387362752,29.865601418097,29.4306271358948,29.6004588706385,29.4025852768437,30.0264907697333,30.3223609102897,29.6133006814011,28.5728617000128,29.0980605840958,28.7596796593227,29.4062114619145,29.9033563836289,29.0264248098187,29.1365797906961,30.1818077620805,30.3338558668613,29.9852501356188,30.390621020835,29.6327710495147,30.0656097771948,30.1399248747534,29.6644770835459,29.8081699264275,28.9496824899247,29.6988724491654,30.1881311053064,29.8939296085893,29.7832036270839,30.0112533432224,30.4993060380204,30.012332810813,30.0128123150503,30.0283232491628,29.8911416849263,29.7778894987577,30.0966891196927,30.7975105751612,30.1563902718204,30.1691968151396,30.3348575978483,30.4616627276785,30.0221970903024,30.3968594685781,30.5347590729883,30.3705475027889
"A2M_P01023",29.004574701058,29.9376421365861,29.5883116127758,29.5714410324327,29.3103684426867,29.7567929194383,29.8362965078413,29.6175892856106,29.6664001022896,29.5702289253097,29.1555654184472,29.5237975979085,29.0237680774827,28.6767958154634,30.2204000460718,29.6231044789877,29.3753782512538,29.6736371150229,30.2072973426836,30.4914809543172,29.9356064044578,28.845340612714,29.4806928534648,29.4636341729509,29.7809705424744,29.8560233233256,28.947220566655,29.4490883660423,29.5318754960185,30.0090652782278,30.0286789285929,30.2583126285438,29.8976269400067,30.158089140808,30.3108277899933,30.2579306392152,29.5747050354512,29.4597511113885,29.8013166207892,30.1097603280028,29.90101265341,30.2391792414822,29.9098357140798,30.5456526191707,29.947192692799,30.5161553192838,30.3394417559842,29.9870950491336,29.7823648676736,30.426754046354,30.2308910827745,30.677326915052,30.371544858005,30.3139007853697,30.200426325632,30.2063776611619,30.2103780755781,30.4045436554482,30.4734686098371
"FGB_P02675",28.5445991994759,30.4165626035796,28.7543592531139,29.9268552128516,30.5346013958238,29.6674613238043,29.5513685406512,29.6510429568296,29.5269360905422,30.1853333421512,29.9995406472099,29.8914097101537,28.6463944832325,30.1078414691778,30.0492506268491,30.5011868727708,29.957690823218,30.4094482355724,29.0412451538246,29.0782568813341,29.847440480775,30.1331411734596,30.1506402613665,29.6535956389727,30.0872343290274,29.974841978944,30.7591812077501,30.2009991878576,21.8516255302505,21.5743533045274,20.3361011632923,21.494150483098,29.5206166724906,28.8185576037505,30.3719186885247,30.3423060993941,29.3606676983924,30.0648007064848,30.4233615521081,30.3378479933489,30.0006154805923,30.1452560692035,29.5961669600417,30.0507950390948,30.3732055860367,30.320436148139,29.4733950618015,31.2028798494785,29.7929083126164,29.9254693249616,29.4353486013811,29.7525261215857,29.2571820963054,29.7732099635609,29.071697907133,29.2028401589721,29.7953986401484,29.7269540297599,29.890602586124
"SERPINA1_P01009",29.7956417087609,30.4762819088378,28.8277283844908,30.3699030109127,29.8735947629184,30.3910719110741,30.0217339309543,30.5209200984778,29.6772395323555,29.7692926789591,29.054875226569,29.5499485651026,29.2386327315795,29.2053059001953,29.7370013016222,29.9976846754831,28.8047142684227,28.8045173432924,29.2853792347413,28.8083218529518,29.9608143786154,30.415102227797,30.0309426820408,30.3110877330949,29.1892416225483,29.4694896999045,29.6778393416399,29.5384197547839,29.2623599902414,28.3387598410824,28.4978281483468,29.0954370857049,29.8413836674708,29.407267553509,28.7107888856158,30.1348553880108,29.3786765981007,28.8728216313353,30.1190814829199,29.3671096590017,29.1020870575743,29.3922906587542,29.0694332339502,27.9932313769914,29.3825673832668,28.3832701141015,28.9971381883556,29.8268954292818,29.2427787529409,29.50571928689,28.5369517810365,29.2430489790235,29.4515271321923,28.7656792955976,28.608541127824,28.1697726549885,28.7261923767298,28.419492992311,28.5390653382832
"FGA_P02671",28.2324381647955,30.1834769795658,28.2969199166688,29.606770547164,30.0282968990497,29.4211777329364,29.1104450166824,29.3613393387831,29.2336842356597,29.8081131416999,29.6311774582257,29.6358474714289,28.4370109683463,29.6185785020204,29.7159531297472,30.1194525846405,29.6166309374164,30.0554830283262,28.5430655782564,28.7313714746637,29.4158718790071,29.8108500772749,29.7731659374898,29.2474064748655,29.7410634040093,29.6495036947893,30.5139928511582,30.1048709309688,22.7796696667586,22.6971075589016,22.9583757093624,23.2750474585928,29.1363499893901,28.5525471225369,29.9386799559255,29.9738161767092,28.9194038607926,29.4710550521724,30.0803883068654,29.9584377745876,29.6523190076021,29.7258447084424,29.2594849287936,29.658457672789,29.8979153953638,29.8369826528272,28.9813790093458,30.8631482185037,29.4198003682414,29.2363214394138,28.7911872128307,29.1668073734675,28.9368731078645,29.3360183093008,28.8688040724996,28.5627929257295,29.2630364337945,29.2419904936615,29.4451106357911
"APOA1_P02647",27.0729502666243,28.5915180950374,28.5690628945305,27.3878490508349,28.4026706558037,27.6534060101745,28.0866448217609,27.4814918217337,29.0507068314903,28.0255459360251,28.3500537064701,28.4709212780255,28.424042692335,29.0889230845009,28.9884853139579,27.78330511982,27.9718473296622,28.7022192491749,29.1682764278714,29.1344906757951,28.2899824147228,27.9140431366471,27.5168541374467,28.0055547801012,28.9875667511037,28.7067903482298,28.5305143330451,27.9839518563903,29.5264548377798,29.8468340000884,29.2345227269443,29.9565835172443,28.403308805126,28.7838452533351,29.1700115252303,28.7167038549266,28.5993117067483,28.1066340217363,28.3761072679625,29.446509413469,29.1543344972729,29.0093403028474,29.3848042160123,30.0323228804914,29.5189710674436,29.5385714651253,29.7225116173937,28.6038277089115,28.8215956715017,28.9320221579758,29.4937174825029,28.9454997404706,29.1835503334717,30.3037371379425,30.068610930762,29.8548083908983,29.5230909158949,29.9827775102389,29.5050832196892
"FGG_P02679;P02679-2",27.8152260389817,30.0608129421344,28.3282033171541,29.5679521164102,30.0894081097776,29.3818313127745,29.1949903656584,29.2469400675921,28.9141999992213,29.6691133794298,29.5149108857284,29.3502560870194,28.0147021402867,29.4804598179343,29.4231471267273,29.9673299243978,29.3346274743987,29.8806482111985,28.4816996734686,28.7493005364618,29.4815611089727,29.6342399634074,29.6627059790712,29.3365653301261,29.501503903336,29.4713361313404,30.2677403582684,29.8689909444732,21.0666634058145,20.8166743233491,19.4601858936811,20.8804609164162,29.1694142754528,28.4098528278239,29.746200699613,29.9252570817336,28.9297922851052,29.3940912910329,29.9884365554087,29.8428736632608,29.2917726058073,29.5781002793189,28.9028678215586,29.5065120851338,29.6365840078679,29.6391019877661,28.8607825866616,30.5370388274393,29.1454990330534,29.3709278257938,28.8010945557241,29.2557828759623,29.0058224454924,29.1172864776821,28.5320167453882,28.4916797274011,29.2943518437461,29.1159852507015,29.2546593684361
"HPX_P02790",28.1997128526167,29.1197691826424,28.7697734651271,28.1161067482228,29.1266282102128,28.4813301385675,28.7709550452258,28.2552448723115,28.7368900488089,28.6662544830987,27.758727054175,28.6750734393353,29.1080284832394,28.7841136837823,28.7859694810544,28.789356777665,28.9691896465317,28.9975420165445,28.874813034405,29.060106860396,28.8773635260642,28.772384251074,28.6263338711193,28.2502650173028,29.0105012366609,29.1034559038427,28.9638099493636,28.7362255780383,28.8662796659299,28.7258739547968,29.2003140647467,29.3094688250742,28.2816325892539,29.0212997494722,28.5478637705331,29.0131132557457,28.9700898026858,28.6773840470305,29.0727126574758,28.7652271833099,28.6126417909705,28.9923779669461,28.9222965730431,29.1240512644922,29.5429604507617,28.8696984843166,29.3854996870845,29.3865011523997,29.2190454818283,29.0027010586875,28.8011408220981,28.8966919482986,29.1156008544186,29.0825343528807,29.0080448259692,28.6905612383012,29.0071439844076,29.0676394456681,29.0086032256568
"C3_P01024",26.8222584470094,28.6438376155289,28.4728046061822,28.1373813639917,28.8697955417182,28.3699986633845,28.6064458225363,28.1233878061645,28.8592132166704,28.7747641660942,28.6327329209885,28.402438901156,28.488917386849,29.1082055008831,28.9300602775562,28.2143836412263,28.6635290327066,28.2406583336956,27.6532556561148,28.6132356842576,29.1186013830851,28.5758755308698,28.7698522672478,28.5910757529803,28.7611042175386,28.0185645807759,28.6248917333062,28.9399103469436,29.058559488057,28.6562802252248,28.4090435298245,28.8858463198743,28.2614411318426,28.4702851964525,28.6405972240205,28.58732109091,28.5873819006523,27.6055065334352,28.9349374959767,28.9677834011471,28.7722048910371,28.6362192445645,28.2933851698065,28.9580283824716,28.9089744368937,28.7530810889442,28.5305403782665,28.6895318756215,28.6665355488076,28.660832418373,28.589483626357,28.6987433161973,28.6707652334675,28.5513116951048,28.4896218651904,28.3049601279246,28.7196245293085,28.5291146411898,28.4187694963945
"SERPINA3_P01011",29.2373179829038,29.5719364367284,28.1920412333659,29.6598258402489,29.0640014643159,29.7714274064354,29.1250397199412,29.3573803137697,29.4250878174431,29.4812223397225,29.4260721852753,29.8274179755841,29.1751686324672,28.3964124254118,29.1217710450396,29.5505064482748,29.1818385594619,29.5767226006945,28.7673474069881,27.0708436345166,28.8422502707698,29.4366615734871,28.988347160455,29.0936955056547,28.9509313394164,28.7059010095509,28.6463429782145,29.1522516084679,28.4365662692926,27.5382550755032,28.1354304179494,28.7957980560969,28.0140103788566,28.900123052546,27.7502018713048,28.4412842022632,28.706882544578,28.2126408358515,29.0117092169494,29.0893954809787,28.243611976658,28.968022449689,28.8077478243397,28.0380425244735,29.0211011473171,28.2752784020739,28.425728133037,29.7496090353491,28.5903191764567,27.7755712506674,27.0690618466241,27.9787633872025,27.7075738294499,27.3640353056394,27.3688129566713,26.9314896697817,27.311336801292,27.1958141050624,27.7799348687211
"KNG1_P01042-2",26.1432816862151,26.8406095815814,26.990328802914,25.905407113398,26.5303148854784,26.2832216309375,26.6645974532969,26.3494092726234,26.731238743243,26.4447260795672,26.350443263755,26.4126672661989,26.5846572565541,27.0568993763089,26.6774512582264,26.2672786934225,26.3112432433247,26.3890709333903,26.5270259812094,27.4912668603638,26.8144805706565,26.3822948541673,27.0130147245539,26.4535018700729,26.6261562942964,26.3736428698241,26.6399213691085,26.5513058270499,27.2480039803347,26.900684515003,26.5511972637287,26.9437349483484,26.7799912084685,26.9515484114951,26.9235211755375,26.9670825133518,26.3371865963498,26.223301038891,26.8479735549438,26.4023478154544,26.8127559632968,26.5258095579698,26.6721319029845,27.1080309765965,27.2266027702834,26.765065906184,26.9485662331191,27.1631065800443,26.6179010057399,26.9580477482298,27.1389831757365,26.882258596512,26.9349009500244,26.954213797033,26.8426968629485,26.4688661897034,26.6897651289309,26.9737751294449,27.0842286156767
